"","x"
"891",736.4071
"892",176.3489
"893",278.7805
"894",351.3648
"895",202.7952
"896",4.93185
"897",173.0841
"898",127.44965
"899",166.1405
"900",147.4359
"901",141.1153
"902",143.58755
"903",1.95975
"904",1.5643
"905",0
"906",0
"907",0.5401
"908",0.3167
"909",4.03575
"910",0.55805
"911",0.5787
"912",0
"913",0
"914",0.15665
"915",0.0244
"916",0
"917",2.3791
"918",101.6949
"919",2.1067
"920",0.6761
"921",0.18555
"922",451.5977
"923",34.9755
"924",16.45865
"925",1.6694
"926",0
"927",17.9767
"928",1.2656
"929",0
"930",854.2714
"931",927.251
"932",593.5103
"933",644.30035
"934",451.4128
"935",953.6867
"936",888.15555
"937",1277.2202
"938",1100.2605
"939",640.9305
"940",4.3207
"941",433.2852
"942",1373.2959
"943",929.8265
"944",792.04915
"945",972.3463
"946",743.5918
"947",1033.3586
"948",966.0603
"949",1537.95515
"950",1117.3871
"951",4.4402
"952",0.26995
"953",26.4187
"954",1126.7098
"955",68.2847
"956",112.2205
"957",8.4369
"958",42.5611
"959",10.3142
"960",33.1182
"961",68.5139
"962",126.56755
"963",82.2346
"964",21.95025
"965",237.8496
"966",679.2021
"967",31.17545
"968",0.89485
"969",16.7043
"970",505.3486
"971",2.3238
"972",13.9303
"973",4.80665
"974",4.9841
"975",42.0853
"976",1.3486
"977",0.29515
"978",0
"979",1103.3576
"980",747.1155
"981",530.2388
"982",902.2787
"983",567.6065
"984",3151.11215
"985",3816.09185
"986",551.97245
"987",1480.5413
"988",692.3177
"989",79.8049
"990",601.2536
"991",236.2849
"992",615.6682
"993",8.0631
"994",344.47315
"995",48.9132
"996",103.5184
"997",1503.048
"998",65.7396
"999",23.9765
"1000",0
"1001",1714.1139
"1002",507.9067
"1003",518.7602
"1004",1568.1473
"1005",1110.9298
"1006",450.15205
"1007",601.7857
"1008",381.0345
"1009",478.9773
"1010",24.8851
"1011",0.2704
"1012",4.419
"1013",9.4637
"1014",19.5946
"1015",1.12705
"1016",7.10635
"1017",7.8455
"1018",41.77015
"1019",1.3434
"1020",104.9404
"1021",21.7214
"1022",2.7701
"1023",0.0281
"1024",4.4498
"1025",9.1439
"1026",2.5193
"1027",15.0762
"1028",0.27935
"1029",2.9867
"1030",0.29895
"1031",0.0284
"1032",185.928
"1033",310.9044
"1034",283.0999
"1035",396.3514
"1036",546.893
"1037",359.8046
"1038",287.6667
"1039",1107.7364
"1040",266.3481
"1041",295.39885
"1042",416.233
"1043",2.90865
"1044",4661.4764
"1045",2141.3053
"1046",67.8369
"1047",223.2914
"1048",306.4516
"1049",20.97955
"1050",116.24955
"1051",46.2185
"1052",103.3025
"1053",405.8598
"1054",734.3403
"1055",291.9748
"1056",420.6906
"1057",339.5375
"1058",352.5707
"1059",471.5694
"1060",423.8089
"1061",428.8931
"1062",276.4051
"1063",698.584
"1064",4.27365
"1065",319.7354
"1066",7.7762
"1067",1554.0567
"1068",5695.1913
"1069",3587.2618
"1070",2954.9102
"1071",2001.7955
"1072",13.0221
"1073",1570.159
"1074",3.4749
"1075",487.8626
"1076",275.7984
"1077",11.6753
"1078",11.5926
"1079",6.8788
"1080",0.093
"1081",54.62825
"1082",12.26645
"1083",6.6075
"1084",2.5733
"1085",0
"1086",7.5938
"1087",6.1728
"1088",341.4836
"1089",113.7047
"1090",184.5961
"1091",173.27335
"1092",387.4834
"1093",713.53125
"1094",481.3499
"1095",250.1255
"1096",271.0018
"1097",485.2091
"1098",1.2136
"1099",1238.5473
"1100",673.7217
"1101",630.2683
"1102",980.5027
"1103",732.5442
"1104",589.18415
"1105",958.8909
"1106",934.9523
"1107",1026.6856
"1108",767.8737
"1109",619.469
"1110",880.475
"1111",971.7622
"1112",425.0776
"1113",1398.36345
"1114",3.1334
"1115",515.9077
"1116",1700.24175
"1117",1753.8091
"1118",1310.7692
"1119",1951.05215
"1120",2178.01455
"1121",779.0541
"1122",1726.96655
"1123",972.0863
"1124",2194.3086
"1125",1491.8168
"1126",1390.8281
"1127",1265.2983
"1128",2324.0692
"1129",1891.13875
"1130",1966.97785
"1131",5.2092
"1132",1205.2717
"1133",413.7931
"1134",1699.8723
"1135",834.9156
"1136",943.7299
"1137",881.8514
"1138",518.232
"1139",1194.99605
"1140",781.04705
"1141",707.9872
"1142",2401.2773
"1143",814.8053
"1144",428.3998
"1145",889.6353
"1146",12.0882
"1147",789.9327
"1148",1815.2134
"1149",1182.51965
"1150",99.2111
"1151",1035.1017
"1152",606.0744
"1153",4013.4699
"1154",48.4176
"1155",2877.8266
"1156",4959.9748
"1157",19.9149
"1158",8237.037
"1159",682.9796
"1160",2846.3961
"1161",3549.2516
"1162",4206.9633
"1163",2751.5612
"1164",2764.57585
"1165",723.95
"1166",42.29995
"1167",2136.0021
"1168",2201.3544
"1169",2035.3031
"1170",2061.614
"1171",1605.27
"1172",1490.1431
"1173",22.378
"1174",6.6594
"1175",5.01745
"1176",0.7474
"1177",2.52985
"1178",884.5334
"1179",4.5571
"1180",57.8333
"1181",1.0115
"1182",0.0044
"1183",442.2209
"1184",278.6749
"1185",599.33475
"1186",497.37495
"1187",687.6022
"1188",5.0201
"1189",1419.7304
"1190",784.5129
"1191",1025.019
"1192",853.4052
"1193",1505.9928
"1194",17.2983
"1195",673.1022
