,geneSymbol,prob,probSD,SNR,pval_prob,qval_prob,pval_MutSig,qval_MutSig,protLength,uniquePosNdMAF,uniquePosNdMAFtumor,uniquePosNExactMatch,uniquePosNExactMatchtumor,casesN,SNRcorrected,MutSigPass,probPass,tumorType
748,PIK3R1,0.010869565,0.010787302,1.007625892,0.308984551,0.308984551,9.99E-16,2.69E-12,724,96,56,1,1,63,1.007625892,1,0,UCEC
749,PIK3R2,0.285714286,0.167781161,1.702898494,0.005099745,0.028988024,0.6074933,1,728,32,6,1,1,7,1.702898494,0,0,UCEC
750,PKD1,0.076923077,0.071984002,1.068613514,0.010549473,0.045573721,0.9999915,1,4303,84,12,1,1,8,1.068613514,0,0,UCEC
751,PKLR,0.166666667,0.152529464,1.092685059,0.0439978,0.075729547,0.2819456,1,574,18,6,3,1,6,1.092685059,0,0,UCEC
752,PLCB4,0.052631579,0.051628823,1.01942241,0.062496875,0.081321235,0.9887531,1,1175,119,18,1,1,10,1.01942241,0,0,UCEC
753,PLCE1,0.051282051,0.034235895,1.497903054,0.001899905,0.017099145,0.8020939,1,2302,148,38,1,1,22,1.497903054,0,0,UCEC
754,PMM2,0.333333333,0.191220303,1.743190074,0.010099495,0.045573721,0.2162044,1,246,9,6,3,2,6,1.743190074,0,0,UCEC
755,POLE,0.042553191,0.029638011,1.435764086,0.004899755,0.028988024,0.9996561,1,2286,120,35,1,1,27,1.435764086,0,0,UCEC
756,PRF1,0.125,0.116583451,1.072193341,0.039748013,0.075729547,0.8600496,1,555,29,6,1,1,7,1.072193341,0,0,UCEC
757,PROC,0.2,0.174203292,1.148083932,0.043097845,0.075729547,1,1,461,16,5,2,1,4,1.148083932,0,0,UCEC
758,PRPH2,0.142857143,0.130245548,1.096829377,0.078896055,0.087843031,1,1,346,21,7,1,1,5,1.096829377,0,0,UCEC
759,PTEN,0.293650794,0.029653836,9.902624143,0.027448628,0.075729547,2.00E-15,3.77E-12,403,193,121,14,11,161,9.902624143,1,0,UCEC
760,RUNX2,0.090909091,0.081579261,1.114365216,0.087145643,0.092271857,0.02579026,1,521,46,11,3,1,7,1.114365216,0,0,UCEC
761,RYR2,0.00877193,0.008717478,1.006246228,0.088645568,0.09230967,0.8200026,1,4967,623,109,4,1,40,1.006246228,0,0,UCEC
762,SCN2A,0.054054054,0.037537028,1.440019553,0.005649718,0.02982708,0.9929129,1,2005,136,37,4,2,16,1.440019553,0,0,UCEC
763,SCN5A,0.090909091,0.059187885,1.535940869,0.00359982,0.024298785,0.8771005,1,2016,112,20,12,1,16,1.535940869,0,0,UCEC
764,SDHA,0.071428571,0.070145199,1.018295943,0.083295835,0.089959502,0.543676,1,664,36,14,1,1,11,1.018295943,0,0,UCEC
765,SDHB,0.5,0.3669041,1.362753918,0.029698515,0.075729547,0.5748501,1,280,12,2,1,1,2,1.362753918,0,0,UCEC
766,SEC23B,0.2,0.12668579,1.57870903,0.01139943,0.04619769,0.859375,1,767,40,9,2,2,9,1.57870903,0,0,UCEC
767,SLC12A3,0.2,0.178257611,1.121971731,0.018949053,0.067932087,0.9840334,1,1021,36,5,3,1,4,1.121971731,0,0,UCEC
768,SLC26A4,0.071428571,0.068962728,1.035756171,0.069896505,0.08562429,0.9416227,1,780,37,14,1,1,11,1.035756171,0,0,UCEC
