gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
PLEKHO2	556478	205	50	136440	42720	0	2	0	0	50	9	2073920	2.871755e-01	1
ADRM1	990360	252	9	116280	35040	0	1	0	0	50	1	2008440	2.873190e-01	1
DNAJB11	592490	436	40	105560	28000	0	1	0	0	50	7	3298440	2.875868e-01	1
STAT6	2122802	172	52	244800	70560	0	1	0	0	50	4	2157120	2.877255e-01	1
NETO2	542002	532	7	153680	39520	0	2	0	0	50	10	2401720	2.878599e-01	1
MARK4	1318362	215	31	196480	59960	0	2	0	0	50	5	2072400	2.878814e-01	1
PCDHGA12	NaN	NaN	NaN	258920	82600	0	2	0	0	50	11	4537160	2.879836e-01	1
EDA	135563	NaN	-2	122520	37800	0	1	0	0	50	3	2841360	2.880657e-01	1
FAM98A	116876	865	5	148000	42440	0	1	0	0	50	10	1979960	2.880967e-01	1
NBPF1	675669	259	40	339280	83000	0	6	2	0	14	5	656560	2.882758e-01	1
TLK2	316879	370	-2	224160	56280	0	1	0	0	50	9	2515960	2.884270e-01	1
HIST1H2AA	272695	635	29	35960	12040	0	1	0	0	33	9	1429480	2.885443e-01	1
DDX20	333198	440	25	237720	64080	0	1	0	0	50	7	2380360	2.885998e-01	1
DDIT4	808655	145	40	63600	21240	0	1	0	0	50	6	2032560	2.887084e-01	1
CASP5	45234	626	-20	132160	33680	0	1	1	0	38	12	1684000	2.891120e-01	1
SIK2	426569	296	19	264520	75920	0	2	1	0	50	3	2325040	2.892241e-01	1
KRT15	1445853	325	-22	129600	38280	0	2	0	0	50	11	2145920	2.894605e-01	1
TRIOBP	1114524	180	74	678400	219920	0	13	5	0	50	9	2233920	2.894936e-01	1
PARP8	76181	1215	14	253800	66480	0	1	1	0	50	5	2324240	2.896237e-01	1
MYH7B	968413	236	40	571480	163400	0	2	0	0	46	2	2411600	2.896827e-01	1
DHRS3	340106	294	27	84920	26560	0	1	0	0	50	8	3019880	2.898361e-01	1
NOL11	692622	197	7	212080	55520	0	1	0	0	50	8	2394320	2.899144e-01	1
REG1A	10958	1389	-22	50480	12040	0	1	0	0	50	15	1969520	2.899475e-01	1
UGT2A3	NaN	NaN	NaN	152200	40520	0	1	0	0	50	11	4495080	2.902413e-01	1
AKR1C1	343868	608	-13	94760	25720	0	1	0	0	50	2	1794800	2.903922e-01	1
COQ3	259457	638	13	106600	29720	0	1	0	0	50	9	3488240	2.906034e-01	1
LMF2	1075525	207	42	196200	65160	0	1	0	0	50	9	2406520	2.906455e-01	1
EXOSC5	1148529	249	36	66400	21200	0	1	0	0	50	5	1807040	2.906579e-01	1
NPTN	310307	416	20	115320	32160	0	1	0	0	50	4	2705880	2.910487e-01	1
AWAT1	161347	NaN	27	95880	25680	0	1	0	0	50	8	2544440	2.910771e-01	1
C2CD2L	1390854	195	58	196680	64440	0	1	1	0	50	7	1932040	2.912993e-01	1
KCTD18	542097	378	26	120720	35880	0	1	0	0	50	1	2038600	2.918932e-01	1
OR4N2	275024	858	-57	84760	26000	0	1	0	0	50	7	2047720	2.919810e-01	1
RAB3D	1385739	197	31	63760	17360	0	1	0	0	50	9	2497800	2.922658e-01	1
LPGAT1	465080	281	13	109400	27520	0	1	0	0	50	3	2312120	2.924364e-01	1
SPDYE1	1042621	239	49	98880	25320	0	1	0	0	50	3	2178440	2.925390e-01	1
RERE	916698	436	27	440800	133400	0	3	0	0	10	0	983960	2.926091e-01	1
OR2M7	18846	936	-35	87000	25560	0	1	0	0	50	8	2248320	2.926934e-01	1
UPP2	115042	838	-4	109400	29680	0	1	0	0	50	2	2150960	2.928500e-01	1
GPATCH3	1025094	188	34	148040	44440	0	2	0	0	50	8	2074560	2.934150e-01	1
MARK1	544426	520	-9	231920	62800	0	2	0	0	50	3	2012120	2.934355e-01	1
MIOX	1075525	207	42	85280	22000	0	1	0	0	50	9	2406520	2.935167e-01	1
PRMT1	1733181	195	36	110920	28040	0	1	0	0	50	4	2552040	2.937798e-01	1
CTSO	44515	745	-2	94680	24840	0	1	0	0	50	9	2934160	2.937993e-01	1
CD84	1164343	634	35	102280	25880	0	1	0	0	50	7	2459440	2.938096e-01	1
MKLN1	258333	283	35	225040	52520	0	1	0	0	50	6	2125120	2.944285e-01	1
BRCC3	NaN	NaN	NaN	95640	24000	0	1	0	0	50	11	4478560	2.944799e-01	1
AQP10	1653296	236	29	83160	28200	0	1	0	0	50	8	2580080	2.948469e-01	1
DSC1	214084	492	-7	264440	70000	0	1	0	0	50	5	2245600	2.949034e-01	1
HEY1	147129	428	30	85480	27680	0	1	0	0	50	5	2516200	2.949923e-01	1
THAP3	628180	259	38	52240	13520	0	1	0	0	50	13	2533120	2.950374e-01	1
ZSCAN18	1248040	619	-53	157880	49360	0	2	0	0	50	8	2132920	2.952935e-01	1
SGSM1	365627	308	-21	335360	90280	0	2	0	0	50	2	2543800	2.953747e-01	1
C9orf24	478815	302	38	89520	21000	0	1	0	0	50	3	1951400	2.960330e-01	1
TBXA2R	2164055	269	35	112720	41240	0	1	0	0	50	3	2252120	2.966854e-01	1
TRIM59	435184	513	16	116360	29560	0	1	0	0	50	3	2438720	2.967716e-01	1
NUDT9	530607	537	23	102960	26760	0	1	0	0	50	2	1983280	2.968681e-01	1
ZNF830	268361	579	-14	105480	29280	0	1	0	0	50	3	2091280	2.969378e-01	1
CXCL16	1272092	222	28	77000	24280	0	1	0	0	50	9	2684560	2.971388e-01	1
PIK3C3	38836	1300	13	265600	65840	0	2	0	0	50	5	2511680	2.971984e-01	1
